SMILES,SMILES_1,SMILES_2,SMILES_3,tg
C=CCC(C)C,[CH2]=[CH],[CH]-[CH3],[CH2]=[CH]-[CH2],302.0
C=Cc1ccccc1C(=O)OCCCC,[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1,[C]-[O]-[CH2],[CH2]=[CH],339.0
C=Cc2ccc(/C(Cc1ccccc1)=N/O)cc2,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH2]=[CH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,384.0
C=CC(=O)Oc1ccc(CCCOC)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH2]-[CH2]-[CH2],198.0
C=CC(=O)OCC(CC)CC,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],223.0
OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O.OCCO,[cH]1:[cH]:[c]:[cH]:[c]:[c]:1,[C]=[O],[C]-[OH],392.0
OC(=O)c1cccc(c1)C(=O)O.OCCCCO,[cH]1:[cH]:[c]:[cH]:[c]:[cH]:1,[CH2]-[CH2]-[CH2],[C]=[O],297.0
Oc1ccc(cc1)Sc1ccc(cc1)O.ClC(=O)C,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[CH3]-[C](=[O])-[Cl],386.0
C=CC(=O)OCCCCCCC#N,[C]#[N],[C]-[O]-[CH2],[CH2]-[C]#[N],358.0
C=CC(=O)OCCCCCC,[C]-[O]-[CH2],[CH2]=[CH],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],216.0
C=CC(=O)Oc1ccc(C(=O)OC)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],340.0
C1CCCCOC1,[CH2]-[O]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[O],204.0
C=Cc1ccccc1C(=O)OCC(C)(C)C,[cH]1:[cH]:[c]:[c]:[cH]:[cH]:1,[C]-[O]-[CH2],[CH2]=[CH],341.0
C=CC(=O)OCCCCC,[C]-[O]-[CH2],[CH2]=[CH],[CH2]-[CH2]-[CH2],216.0
CC1CC(=O)O1,[CH2]-[C](=[O])-[O],[C]-[O]-[CH],[CH3]-[CH],276.0
CCCCCCCOC(=O)C=C,[C]-[O]-[CH2],[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],213.0
C=Cc2ccc(c1ccc(C)cc1)cc2,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH2]=[CH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,372.0
C=CC(=O)OCCC#N,[C]#[N],[C]-[O]-[CH2],[CH2]-[C]#[N],277.0
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],238.0
OC(=O)CCCCCCCCC(=O)O.NCCCCCCN,[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],323.0
COC(=O)C=C,[C]-[O]-[CH3],[CH]=[CH2],[CH]-[C](=[O])-[O],283.0
CC1CO1,[CH]1-[CH2]-[O]-1,[CH3]-[CH],[CH3]-[CH]1-[CH2]-[O]-1,200.0
CCCCCCCCOC(=O)C=C,[C]-[O]-[CH2],[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],208.0
CC=CC=C,[CH]=[CH2],[CH]-[CH3],[CH]=[CH]-[CH3],204.0
CCC(c1ccc(cc1)O)(c1ccc(cc1)O)C.ClC(=O)Cl,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[OH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1,[O]=[C](-[Cl])-[Cl],415.0
C=CC(=O)OCC#N,[C]#[N],[C]-[O]-[CH2],[CH2]-[C]#[N],296.0
CCCCCCCCOC=C,[CH]-[O]-[CH2],[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],193.0
CC(c1cc(Cl)c(c(c1)Cl)O)(c1cc(Cl)c(c(c1)Cl)O)C.ClC(=O)Cl,[c]1:[cH]:[c]:[cH]:[c]:[c]:1,[OH]-[c]1:[c]:[cH]:[c]:[cH]:[c]:1,[O]=[C](-[Cl])-[Cl],500.0
CCCCCCCC=C,[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],225.0
C=CC(=O)OCC(F)(F)C(F)C(F)(F)F,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],251.0
O=C1OCC(=O)OC1,[CH2]-[C](=[O])-[O],[C]-[O]-[CH2],[C]=[O],312.0
FC(=C(F)F)Cl,[C]=[C](-[F])-[Cl],[C]=[C](-[F])-[F],[C]-[Cl],360.0
O=C1CCCO1,[CH2]-[C](=[O])-[O],[C]-[O]-[CH2],[C]=[O],221.0
FC(F)C(F)(F)COC(=O)C(=C),[C]-[O]-[CH2],[CH]=[CH2],[CH]-[C](=[O])-[O],249.0
C=CC(=O)OCCC(=O)CC(F)(F)C(F)(F)C(F)(F)F,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],228.0
C=CC(=O)OCC(C#N)CCCCC,[C]#[N],[C]-[O]-[CH2],[CH]-[C]#[N],389.0
CCCCCCOC=C,[CH]-[O]-[CH2],[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],198.0
CCCCCCOCC1CO1,[CH2]-[O]-[CH2],[CH]1-[CH2]-[O]-1,[CH2]-[CH2]-[CH2]-[CH2]-[CH2],189.0
