SMILES,tg
C=CC(=O)OCCOCC,223.0
CCCCCCCCCCCCOC(=O)C(=C)C,270.0
CCCCCCC=C,218.0
C=CC(=O)OCC(F)(F)C(F)C(F)(F)F,251.0
C=Cc2ccc(C(=O)c1ccccc1)cc2,371.0
CCCCCCCOC(=O)C=C,213.0
C=CC(=O)OCCCOCC,218.0
CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C=C,311.0
CCCCCCOC(=O)C(=C)C#N,359.0
Oc1ccc(cc1)O.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,479.0
C=CC(=O)Oc1ccc(C(=O)OC)cc1,340.0
C=CC(=O)OCC(C)C(C)CC,258.0
NCCCCCCCCCN.ClC(=O)c1ccc(cc1)C(=O)Cl,394.0
O=C1CCCCCN1,324.0
OC(=O)c1cc(ccc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,462.0
CC(=C)C,202.0
C=COC(C)C,270.0
C=CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,243.0
C=CC(=O)Oc1ccc(C(=O)OCC)cc1,310.0
C=CC(C)(C)C,337.0
C=O,211.0
C=CC=C,268.0
C=Cc2ccc(c1ccc(C)cc1)cc2,372.0
Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl.Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)O,489.0
COCC1CO1,211.0
OC(=O)c1ccccc1C(=O)O.OCCO,297.0
C1COCO1,209.0
C=Cc1ccccc1C(=O)OCCCC,339.0
CCOCOC(=O)C(=C)C,223.0
CCCCCC=C,230.0
C=Cc1cc(C(C)(C)C)ccc1C,360.0
C=CC(=O)Oc1ccc(C)cc1,316.0
OC(=O)c1ccc(cc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,472.0
C=Cc1ccc(cc1)Cl,398.0
C=CC(=O)OCCC(=O)CC(F)(F)C(F)(F)C(F)(F)F,228.0
C=CC(=O)OCCCC#N,233.0
C=Cc1ccc(COCC(O)CC)cc1,319.0
OC(=N)C=C,438.0
OC(=O)C(O)C,332.0
C=CC(=O)OCC(F)(F)C(F)(F)F,247.0
C=CC(=O)Oc2ccc1ccccc1c2,358.0
CCCCC(COC(=O)C=C)CC,221.0
CC(=C)C(=O)Oc1ccccc1,330.0
O=C1CCCCCO1,208.0
CC(c1ccc(cc1)O)(c1ccc(cc1)O)C.ClC(=O)Cl,430.0
C=Cc1ccccc1C(=O)OCCCCCC,318.0
COC=C,245.0
OC(=O)CCCCCCCCC(=O)O.OCCO,244.0
C=Cc1ccc(C(=O)CCC)cc1,347.0
Oc1ccc(cc1)Sc1ccc(cc1)O.ClC(=O)C,386.0
C=CC(=O)OCC(C)CC,241.0
Brc1ccc(cc1)Br.C=C,353.0
C=C,200.0
O1CC1,225.0
C=CC(=O)OCC(C)OC,217.0
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,234.0
CC(OC=C)CC,253.0
C=Cc1ccc(C(=O)OCC(C)C)cc1,363.0
CCC=CC=C,197.0
C=CC(=O)OC(CC)CC,267.0
C=Cc1ccc(C(=O)OCC)cc1,367.0
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,236.0
C=CC(=O)Oc1ccc(OC)cc1,324.0
CC(=C)C(=O)OCCc1ccccc1,270.0
C=Cc1ccccc1OC,348.0
COC(=O)C=C,283.0
NCCCCCCCCCCCC(=O)O,313.0
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,238.0
C=Cc1ccccc1COC(C)C,361.0
CCC=C,245.0
OC(=O)CCCCC(=O)O.OCCO,230.0
C=Cc1ccc(OC)cc1C,358.0
CCCCCCOCC1CO1,189.0
OC(=O)c1ccc(cc1)C(=O)O.OCCCO,327.0
C=Cc1ccccc1C(=O)OCC(C)(C)C,341.0
C=CC(=O)OCC#N,296.0
C=CC(=O)Oc1ccc(C(=O)OCCCC)cc1,286.0
C=CC(=O)OCc1ccccc1,279.0
OC(=O)CCCCCCCCC(=O)O.NCCCCCCN,323.0
C=Cc1ccccc1Cl,395.0
C=CC(=O)OC(F)(C(F)(F)F)C(F)(F)F,283.0
CCOC(=O)C=C,249.0
C=CC(=O)OCC(C)CCC,235.0
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,205.0
CCCCOC(=O)C=C,219.0
C=CC(=O)Oc1ccc(C(C)(C)C)cc1,344.0
C1CCCO1,189.0
C=CC(=O)OCCC#N,277.0
ClC(=C)Cl,270.0
C=CC(=O)OC(C)C#N,339.0
CC(OC(=O)C=C)CC,250.0
C=Cc1ccccc1COCC(C)(C)C,351.0
C=Cc1cc(F)ccc1F,374.0
CCCCCCOC(=O)C=C,308.0
