SMILES,SMILES_1,SMILES_2,SMILES_3,tg
C=CC(=O)OCC(F)(F)F,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],263
C=CC(=O)OCCC(=O)CC(F)(F)F,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],235
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],205
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],234
C=CC(=O)Oc1ccc(C(=O)OCCCC)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH2]-[CH2]-[CH2],286
C=CC(=O)OCCOCC,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],223
C=CC(=O)OCCC(=O)CC(F)(F)C(F)(F)C(F)(F)F,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],228
C=CC(=O)OCCCC#N,[C]#[N],[C]-[O]-[CH2],[CH2]-[C]#[N],233
C=CC(=O)OCCC(=O)CC#N,[C]#[N],[C]-[O]-[CH2],[CH2]-[C]#[N],250
C=CC(=O)Oc1cccc(N(C)C)c1,[cH]1:[cH]:[c]:[cH]:[c]:[cH]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],320
C=CC(=O)Oc1ccc(C(=O)OCC)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH]-[C](=[O])-[O],310
C=CC(=O)OCC(CC)CC,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O],223
CCCCCCCOC(=O)C=C,[C]-[O]-[CH2],[CH]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2],213
