SMILES,SMILES_1,SMILES_2,SMILES_3
C=CC(=O)OCCCOCC,[C]-[O]-[CH2],[CH2]=[CH],[CH2]-[CH2]-[CH2]
C=CC(=O)Oc1ccc(OC)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH]-[C](=[O])-[O]
CCC=C,[CH]=[CH2],[CH3]-[CH2],[CH2]=[CH]-[CH2]
CCCCCCCCOC(=O)C(=C)C#N,[C]#[N],[C]-[O]-[CH2],[C]-[C]#[N]
ClC(=C)Cl,[C]=[CH2],[CH2]=[C](-[Cl])-[Cl],[C]-[Cl]
C=CC(=O)NC(C)C,[CH2]=[CH],[CH]-[C](-[NH])=[O],[CH]-[CH3]
OC(=O)CCCCCCCCC(=O)O.NCCCCCCCCCCN,[CH2]-[CH2]-[CH2]-[CH2]-[CH2],[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH]
O=C1OCC(=O)OC1,[CH2]-[C](=[O])-[O],[C]-[O]-[CH2],[C]=[O]
OC(=N)C=C,[CH]=[CH2],[CH]-[C](=[NH])-[OH],[CH2]=[CH]-[C](=[NH])-[OH]
O1CC1,[CH2]1-[CH2]-[O]-1,[O]1-[CH2]-[CH2]-1,[CH2]1-[CH2]-[O]-1
C=Cc1ccc(C(=O)OCCC)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[C]-[O]-[CH2],[CH2]=[CH]
C=Cc1ccc(C(=O)OCC(C)C)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[C]-[O]-[CH2],[CH2]=[CH]
OC(=O)CCC(=O)O.OCCCO,[CH2]-[CH2]-[CH2],[CH2]-[C](=[O])-[OH],[C]=[O]
C=CC(=O)OCCOCC,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O]
CCCCCCCCCCCCOC(=O)C(=C)C,[C]-[O]-[CH2],[C]=[CH2],[CH2]-[CH2]-[CH2]-[CH2]-[CH2]
C=Cc1ccc(cc1)Cl,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH2]=[CH]-[c]1:[cH]:[cH]:[c]:[cH]:[cH]:1
C=CC(=O)Oc1ccc(C(=O)OC)cc1,[cH]1:[cH]:[c]:[cH]:[cH]:[c]:1,[CH2]=[CH],[CH]-[C](=[O])-[O]
C=CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[C]-[O]-[C],[CH2]=[CH],[CH]-[C](=[O])-[O]
CC(OC=C)CC,[CH]-[O]-[CH],[CH]=[CH2],[CH3]-[CH]
C=CC(=O)OCC(C)CCC,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O]
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,[C]-[O]-[CH2],[CH2]=[CH],[CH]-[C](=[O])-[O]
