SMILES,tg
C=CC(=O)OCCCOCC,218.0
C=CC(=O)Oc1ccc(OC)cc1,324.0
CCC=C,245.0
CCCCCCCCOC(=O)C(=C)C#N,322.0
ClC(=C)Cl,270.0
C=CC(=O)NC(C)C,403.0
OC(=O)CCCCCCCCC(=O)O.NCCCCCCCCCCN,323.0
O=C1OCC(=O)OC1,312.0
OC(=N)C=C,438.0
O1CC1,225.0
C=Cc1ccc(C(=O)OCCC)cc1,365.0
C=Cc1ccc(C(=O)OCC(C)C)cc1,363.0
OC(=O)CCC(=O)O.OCCCO,232.0
C=CC(=O)OCCOCC,223.0
CCCCCCCCCCCCOC(=O)C(=C)C,270.0
C=Cc1ccc(cc1)Cl,398.0
C=CC(=O)Oc1ccc(C(=O)OC)cc1,340.0
C=CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,243.0
CC(OC=C)CC,253.0
C=CC(=O)OCC(C)CCC,235.0
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,238.0
FC=C,300.0
OC(=O)CCCCC(=O)O.OCCCO,215.0
NCCCCCCN.OC(=O)CCCCCCCCCCC(=O)O,319.0
C=CC(=O)OC(C)CCCCC,235.0
C=C,200.0
CCCCCC=C,230.0
C=CC(=O)Oc1ccc(C)cc1,316.0
OC(=O)c1cccc(c1)C(=O)O.OCCO,324.0
CCCCCCCCOC(=O)C=C,208.0
CC=C,264.0
C=CC(=O)Oc1cccc(C(=O)OCC)c1,297.0
CC(=C)C(=O)Oc1ccccc1,330.0
C=CC(=O)OCCC#N,277.0
OC(=O)CCCCCCCCC(=O)O.OCCCCO,214.0
C=CC(=O)Oc1ccc(C#N)cc1,317.0
O=C1CCCCCN1,324.0
C=Cc2ccc(C(=O)c1ccccc1)cc2,371.0
C=CC(=O)OCCC(=O)CC(F)(F)C(F)(F)C(F)(F)F,228.0
Oc1ccc(cc1)Sc1ccc(cc1)O.ClC(=O)C,386.0
CCCCC=C,223.0
CCOCOC(=O)C(=C)C,223.0
C=CC(=O)Oc1ccccc1C,325.0
NCCCCCCCCCN.ClC(=O)c1ccc(cc1)C(=O)Cl,394.0
O=C1CCCO1,221.0
C=CC(=O)OC(F)(C(F)(F)F)C(F)(F)F,283.0
COC(=O)C=C,283.0
C=CC(=O)OCC(CC)CC,223.0
C=Cc1cc(F)ccc1F,374.0
C=CC(=O)Oc1ccc(CCCOC)cc1,198.0
C=Cc1ccc(cc1)F,376.0
CCCCCCOC=C,198.0
C=CC(=O)OCCCCCC,216.0
CCCCCCCOC(=O)C=C,213.0
C=Cc1ccc(C(=O)CCC)cc1,347.0
Brc1ccc(cc1)Br,538.0
OC(=O)CCCCCCCCC(=O)O.OCCCCCCO,213.0
C=Cc1ccc(C(C)CCC)cc1,359.0
OC(=O)CCC(=O)O.OCCCCO,237.0
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,205.0
C=CC(=O)OC1CCCCC1,289.0
C=CC(=O)OCCCCCCCCC,215.0
C=Cc1ccc(C(=O)CCCCCCC)cc1,323.0
C=Cc1ccccc1C(=O)OCC(C)(C)C,341.0
C=CC(=O)OCC(F)(F)F,263.0
CCCCCCCCOC=C,193.0
C=Cc1ccc(cc1)Br,411.0
CCCCCCOCC1CO1,189.0
C=Cc1ccc(C(C)(O)CCCCC)cc1,364.0
C=Cc1ccc(C(=O)CCCC)cc1,343.0
CCCCOC(=O)C=C,219.0
CCCCCCC=C,218.0
C=CC(=O)OCCC(=O)CC#N,250.0
C=CC(=O)Oc2ccc(c1ccccc1)cc2,383.0
C=Cc2ccc(Oc1ccccc1)cc2,373.0
FC(=C(F)F)Cl,360.0
C=Cc1ccccc1C(=O)OCCCCCC,318.0
C1CNC1=O,384.0
ClCC1CO1,252.0
C1CCCO1,189.0
OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O.OCCO,392.0
CC(=C)C#N,388.0
C=Cc1ccc(C(=O)OCCCCCC)cc1,339.0
NCCCCCCN.OC(=O)CCCCC(=O)O,324.0
C=CCC=C,208.0
Oc1ccc(cc1)c1ccc(cc1)O.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,482.0
C=Cc1ccc(C(=O)CCCCC)cc1,339.0
