SMILES,tg
CC(=C)C(=O)OCCc1ccccc1,270.0
C=CC(=O)OCC(C)C(C)CC,258.0
COC=C,245.0
CCCCCCCC=C,225.0
OC(=O)CCCCC(=O)O.OCCCO,215.0
C=Cc2ccc(c1ccc(C)cc1)cc2,372.0
C1C(CO1)(CCl)CCl,272.0
OC(=O)c1ccccc1C(=O)O.OCCO,297.0
C=CC(=O)OCCCCCCCCCCCCCC,297.0
C=CC(=O)Oc1ccc(C(=O)OC)cc1,340.0
OC(=O)CCCCCCCCC(=O)O.OCCCCCCO,213.0
CCC=C,245.0
CCCCCCOC(=O)C=C,308.0
C=Cc1ccc(C(=O)CCCC)cc1,343.0
OC(=O)CCCCCCCCC(=O)O.OCCO,244.0
C=Cc1ccc(OCCC)cc1,343.0
C=CC(=O)Oc1ccccc1C,325.0
CCCCCC=C,230.0
C=Cc1cc(F)ccc1F,374.0
COC(=O)C=C,283.0
FC(=C(F)F)Cl,360.0
C=CC(=O)OCCC#N,277.0
C=Cc2ccc(Oc1ccccc1)cc2,373.0
CCCCCCOC=C,198.0
O=C1CCCO1,221.0
C1CCCO1,189.0
C=Cc1cc(C(C)(C)C)ccc1C,360.0
C=Cc1ccccc1CCOC,347.0
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,234.0
OC(=O)CCC(=O)O.OCCCCCCO,220.0
CCCCCCC=C,218.0
CC1CC(=O)O1,276.0
C=Cc1ccccc1C(=O)OCC(C)(C)C,341.0
FC(=C(F)F)F,390.0
C=Cc1ccc(C(=O)N(CC)CC)cc1,375.0
CCC=CC=C,197.0
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,205.0
C=CC(=O)OCC(C)OC,217.0
NCCCCCCCCCN.ClC(=O)c1ccc(cc1)C(=O)Cl,394.0
OC(=O)CCC(=O)O.OCCCCO,237.0
C=CC(=O)OC(C)(C)C,311.0
CCCC=C,238.0
C=Cc1ccc(C(=O)CCC)cc1,347.0
CC(=C)C#N,388.0
CCCCC=C,223.0
O=C1CCCCCN1,324.0
C=Cc1ccccc1COC(C)C,361.0
CC(C)OC(=O)C=C,270.0
OC(=O)c1ccc(cc1)C(=O)O.OCCCCO,313.0
CC(OC=C)CC,253.0
C=CC(=O)NC(C)(C)C,401.0
C=CC(=O)OCC(CC)CC,223.0
